X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping La Gaviota Costa Brava,Carr. de la platja, s/n, 17470 Sant Pere Pescador, Girona,San Pedro Pescador,Girona,lagaviota.com,972 52 05 69,"421,893,477",31
0.0,0.000000026167978,Camping el Far / MKT - Agency,N-II, km 666, 08370 Calella, Barcelona,Calella,Barcelona,facebook.com,937 67 20 90,"41,610,297",26
0.0,0.000000026167978,Camping y Bungalows La Chopera,CTRA. N-110, KM 401,300 / 10600, 10600 Plasencia, Cáceres,Plasencia,Cáceres,campinglachopera.es,927 41 66 60,"400,454,582"
0.0,0.000000026167978,Camping Lago de Barasona,N-123a, Km. 25, 22435, Huesca,La Puebla de Castro,Huesca,lagobarasona.com,974 54 51 48,"421,417,672",0.3145678
0.0,0.000000026167978,Camping La Llosa | Camping Cambrils,Cami de les Lloses 7, | Acceso Crta. Nacional 340, 43850 Cambrils, T,Cambrils,T,camping-lallosa.com,977 36 26 15,"410,652,452",10
0.0,0.000000026167978,"La Siesta Salou Resort &amp; Camping",Carrer del Nord, 37, 43840 Salou, Tarragona,Salou,Tarragona,lasiestasalou.com,977 38 08 52,"410,783,283",11
0.0,0.000000026167978,Camping Oasis Mar,Carretera València-Barcelona N-340, Km.1139, 43892 Mont-roig del Camp, T,Montroig,T,oasismar.com,977 17 95 95,"410,475,755",10
0.0,0.000000026167978,Camping Playa Brava,Avinguda del Grau, 1, 17256 Pals, Girona,Pals,Girona,booking.playabrava.com,972 63 68 94,"42,001,234",3
0.0,0.000000026167978,Camping Los Herrenes,Calle Borrico Parra, 29, 28411 Moralzarzal, Madrid,Moralzarzal,Madrid,,918 57 60 19,"406,754,712",-39
0.0,0.000000026167978,Càmping Rural Montori,Camí Vell de Rupià, s/n, 17133 Ultramort, Girona,Ultramort,Girona,campingruralmontori.com,616 03 08 36,"420,317,266",30
0.0,0.000000026167978,Càmping Serra de Prades Resort,Carrer de Sant Antoni, s/n, 43439 Vilanova de Prades, Tarragona,Vilanova de Prades,Tarragona,serradeprades.com,977 86 90 50,"41,348,858",0.958621
0.0,0.000000026167978,Camping Montaña Roja - El Médano,La Tejita 1bajo, Ctra, TF-643, Km 3, 38612 El Médano, Santa Cruz de Tenerife,El Médano,Santa Cruz de Tenerife,campingmontañaroja.es,922 04 99 80
0.0,0.000000026167978,Camping Valverde Natural,Av. Eljas, 0, 10890 Valverde del Fresno, Cáceres,Valverde del Fresno,Cáceres,valverdenatural.com,627 90 38 92,"40,223,475",-68
0.0,0.000000026167978,Camping Las Vegas,Camino La Habana, 30, 04770 Adra, Almería,La Curva,Almería,campinglasvegas.jimdo.com,950 16 22 28,36.7432947,-2.9656541
0.0,0.000000026167978,Camping Sierra de Francia,El Casarito (Carretera Salamanca - La Alberca, Km 73, 37659 Nava de Francia, Salamanca,Nava de Francia,Salamanca,campingsierradefrancia.com,923 45 40 81,"40,521,519",-61
0.0,0.000000026167978,La Tancada,Poligono 78, Ctra. Sant Carles de la Rapita - Salines, s/n, 43870 Amposta, T,Poblenou del Delta,T,tancada.com,977 26 10 47,"406,455,839"
0.0,0.000000026167978,Camping El Ruedo,Paseo San Julián, 24, 26300 Nájera, La Rioja,Nájera,La Rioja,,941 36 01 02,"42,413,111",-27
0.0,0.000000026167978,Càmping les Preses Natura,Sector La Boada, s/n, 17178 Les Preses, Girona,Preses,Girona,campingnatura.cat,972 69 20 93,"421,418,737",24
0.0,0.000000026167978,Camping Ainsa,Camino Pueyo de Araguas, 22338, Huesca,Aínsa,Huesca,campingainsa.com,974 50 02 60,"424,207,524",0.1502841,https://goo.gl/maps/1NdoLuwkSr7s6ywP8
0.0,0.000000026167978,Camping Ciudad de Zaragoza,Calle San Juan Bautista de la Salle, s/n, 50012 Zaragoza,"Casablanca, Zaragoza",Zaragoza,campingzaragoza.com,876 24 14 95,"416,379,694",-0.9429778,https://goo.gl/maps/1QFmQZu6EW1SofkeA
0.0,0.000000026167978,Camping Zuriza,Carretera Ansó-Zuriza, km 14, 22728 Ansó, Huesca,Ansó,Huesca,campingzuriza.es,974 37 01 96,"42,866,214",-0.812441
0.0,0.000000026167978,Masía Camping Mas Bermellons,Carretera GI-623, 17466 Vilopriu, Girona,San Mori,Girona,bodasmasiagirona.com,620 86 76 19,"42,139,601",30,028
0.0,0.000000026167978,Camping Las Arenas,Ctra, Km. 2, 39594 Pechón, Cantabria,Pechón,Cantabria,campinglasarenas.com,942 71 71 88,"43,391,348",-4
0.0,0.000000026167978,Camping Chopera,Carretera del Tranco A-319 Km. 53, 23478 Coto-Ríos, Jaén,Coto-Ríos,Jaén,campingchopera.es,953 71 30 05,38.048023,-2.851295,https://goo.gl/maps/1VLaXANbd3kWVq2a6
0.0,0.000000026167978,Camping Los Ibores,Crta. Ex 118 Guadalupe-Navalmoral de la Mata km 30, 10340 Castañar de Ibor, Cáceres,Castañar de Ibor,Cáceres,campinglosibores.es,605 94 08 78,"39,634,944",-54,209
0.0,0.000000026167978,Camping Sandaya Cypsela Resort,Rodors, 7, 17256, Girona,Els Masos de Pals,Girona,sandaya.fr,972 66 76 96,"419,859,304",31
0.0,0.000000026167978,Camping los Eucaliptos,Carr. del Pradillo, 11140 Conil de la Frontera, Cádiz,Conil de la Frontera,Cádiz,campingloseucaliptos.com,956 44 12 72,36.2868385,-6.0914603,https://goo.gl/maps/26erX4Sb7zEveaNS8
0.0,0.000000026167978,Camping Playa y fiesta,N-340, 43892, T,"Playa y Fiesta, Mont-roig del Camp",T,campingplayayfiesta.com,977 17 95 13,"41,043,947",0.9946537,https://goo.gl/maps/28KR2iRRnivZMEEr8
0.0,0.000000026167978,Camping Ruta del Purche,Km 18, Calle Sierra Nevada, 18193, Granada,Canales,Granada,campingrutadelpurche.es,958 34 04 08,37.138444,-3.491928
0.0,0.000000026167978,Camping Ruta de la Plata,Camino Alto a los Villares, 37798 Villamayor, Salamanca,Villamayor,Salamanca,campingrutadelaplata.com,923 28 95 74,"40,999,457",-5,678
